# Generated by tools/generate-openvox-data.py from the OpenVox sources.
Any	The top of the type system. Every value is an Any.
Array	An ordered collection. `Array[String]`, `Array[Integer, 1, 10]` for a size range.
Binary	A sequence of bytes, normally produced by `binary_file()` or base64 content.
Boolean	`true` or `false`.
Callable	A lambda or function reference. `Callable[String, Integer]` describes its parameters.
CatalogEntry	Anything that can appear in a catalog: a Resource or a Class.
Class	A reference to a Puppet class. `Class['apache']`.
Collection	An Array or a Hash.
Default	The type of the `default` keyword, used in case options and selectors.
Deferred	A function call evaluated on the agent rather than in the catalog.
Enum	One of a fixed set of strings. `Enum['running', 'stopped']`.
Error	An error value, used with `Deferred` and error handling.
Float	A floating point number. `Float[0.0, 1.0]` constrains the range.
Hash	A key-value collection. `Hash[String, Integer]`, with an optional size range.
Init	Accepts whatever the given type can be created from. `Init[Integer, 8]` parses octal strings.
Integer	A whole number. `Integer[1, 65535]` constrains the range.
Iterable	Anything that can be iterated: a collection, a String, an Integer range.
Iterator	A lazy sequence produced by `reverse_each`, `step` and friends.
NotUndef	Any value except `undef`. `NotUndef[String]` narrows it further.
Numeric	An Integer or a Float.
Optional	The given type or `undef`. `Optional[String[1]]`.
Pattern	A String matching at least one of the given regular expressions.
Regexp	A regular expression value. `Regexp[/^a/]` matches one specific pattern.
Resource	A reference to any resource. `Resource['file', '/etc/motd']`.
RichData	Any value that survives catalog serialisation, including Sensitive and Deferred.
Runtime	
Scalar	A single value: String, Numeric, Boolean or Regexp.
ScalarData	A Scalar that is safe to serialise as data: String, Numeric or Boolean.
SemVer	A semantic version. `SemVer['1.0.0', '2.0.0']` constrains the range.
SemVerRange	A semantic version range, as used in module dependencies.
Sensitive	Wraps a value so it is redacted from logs and reports. `Sensitive[String[1]]`.
String	Text. `String[1]` requires at least one character; `String[1, 20]` bounds it.
Struct	A Hash with a known shape. `Struct[{ host => String, Optional[port] => Integer }]`.
Target	A Bolt target. Only meaningful in plans.
Timespan	A duration, produced by `Timespan(...)` or a `{ hours => 2 }` hash.
Timestamp	A point in time, produced by `Timestamp(...)`.
Tuple	An Array with a known shape. `Tuple[String, Integer, 2, 4]`.
Type	The type of a type. `Type[String]`.
URI	A uniform resource identifier, with optional constraints on its parts.
Undef	The type of `undef`.
Unit	Accepts any value and converts nothing; rarely used directly.
Variant	Any one of the given types. `Variant[String, Integer]`.
