# Generated by tools/generate-openvox-data.py from the OpenVox sources.
alias	Creates an alias for the resource. Puppet uses this internally when you provide a symbolic title and an explicit namevar value: file { 'sshdconfig': path => $os['name'] ? { solaris => '/usr/local/etc/ssh/sshd_config', default => '/etc/ssh/sshd_config', }, source => '...' } service { 'sshd':…
audit	Marks a subset of this resource's unmanaged attributes for auditing. Accepts an attribute name, an array of attribute names, or `all`. Auditing a resource attribute has two effects: First, whenever a catalog is applied with puppet apply or puppet agent, Puppet will check whether that attribute of…
before	One or more resources that depend on this resource, expressed as [resource references](https://puppet.com/docs/puppet/latest/lang_data_resource_reference.html). Multiple resources can be specified as an array of references. When this attribute is present: * This resource will be applied _before_…
loglevel	Sets the level that information will be logged. The log levels have the biggest impact when logs are sent to syslog (which is currently the default). The order of the log levels, in decreasing priority, is: * `emerg` * `alert` * `crit` * `err` * `warning` * `notice` * `info` / `verbose` * `debug`
noop	Whether to apply this resource in noop mode. When applying a resource in noop mode, Puppet will check whether it is in sync, like it does when running normally. However, if a resource attribute is not in the desired state (as declared in the catalog), Puppet will take no action, and will instead…
notify	One or more resources that depend on this resource, expressed as [resource references](https://puppet.com/docs/puppet/latest/lang_data_resource_reference.html). Multiple resources can be specified as an array of references. When this attribute is present: * This resource will be applied _before_…
require	One or more resources that this resource depends on, expressed as [resource references](https://puppet.com/docs/puppet/latest/lang_data_resource_reference.html). Multiple resources can be specified as an array of references. When this attribute is present: * The required resources will be applied…
schedule	A schedule to govern when Puppet is allowed to manage this resource. The value of this metaparameter must be the `name` of a `schedule` resource. This means you must declare a schedule resource, then refer to it by name; see [the docs for the `schedule`…
stage	
subscribe	One or more resources that this resource depends on, expressed as [resource references](https://puppet.com/docs/puppet/latest/lang_data_resource_reference.html). Multiple resources can be specified as an array of references. When this attribute is present: * The subscribed resources will be applied…
tag	Add the specified tags to the associated resource. While all resources are automatically tagged with as much information as possible (e.g., each class and definition containing the resource), it can be useful to add your own tags to a given resource. Multiple tags can be specified as an array: file…
