# Generated by tools/generate-openvox-data.py from the OpenVox sources.
abs	Numeric $val;String $val		Returns the absolute value of a Numeric value, for example -34.56 becomes 34.56. Takes a single `Integer` or `Float` value as an argument.
alert	*Any $values	Undef	Logs a message on the server at level `alert`.
all	Hash[Any, Any] $hash, &block;Iterable $enumerable, &block		Runs a [lambda](https://puppet.com/docs/puppet/latest/lang_lambdas.html) repeatedly using each value in a data structure until the lambda returns a non "truthy" value which makes the function return `false`, or if the end of the iteration is reached, `true` is returned.
annotate	Type[Annotation] $type, Any $value, &block;Type[Annotation] $type, Any $value, Variant[Enum[clear],Hash[Pcore::MemberName,Any]] $annotation_hash;Type[Pcore] $type, Any $value, Hash[Type[Annotation], Hash[Pcore::MemberName,Any]] $annotations		Handles annotations on objects. The function can be used in four different ways.
any	Hash[Any, Any] $hash, &block;Iterable $enumerable, &block		Runs a [lambda](https://puppet.com/docs/puppet/latest/lang_lambdas.html) repeatedly using each value in a data structure until the lambda returns a "truthy" value which makes the function return `true`, or if the end of the iteration is reached, false is returned.
assert_type	Type $type, Any $value, &block;String $type_string, Any $value, &block		Returns the given value if it is of the given [data type](https://puppet.com/docs/puppet/latest/lang_data.html), or otherwise either raises an error or executes an optional two-parameter [lambda](https://puppet.com/docs/puppet/latest/lang_lambdas.html).
binary_file	String $path		Loads a binary file from a module or file system and returns its contents as a `Binary`. The argument to this function should be a `<MODULE NAME>/<FILE>` reference, which will load `<FILE>` from a module's `files` directory. (For example, the reference `mysql/mysqltuner.pl` will load the file `<MODULES DIRECTORY>/mysql/files/mysqltuner.pl`.)
break			Breaks an innermost iteration as if it encountered an end of input. This function does not return to the caller.
call	String $function_name, *Any $arguments, &block;Deferred $deferred		Calls an arbitrary Puppet function by name.
camelcase	Numeric $arg;String $arg;Iterable[Variant[String, Numeric]] $arg		Creates a Camel Case version of a String
capitalize	Numeric $arg;String $arg;Iterable[Variant[String, Numeric]] $arg		Capitalizes the first character of a String, or the first character of every String in an Iterable value (such as an Array).
ceiling	Numeric $val;String $val		Returns the smallest `Integer` greater or equal to the argument. Takes a single numeric value as an argument.
chomp	Numeric $arg;String $arg;Iterable[Variant[String, Numeric]] $arg		Returns a new string with the record separator character(s) removed. The record separator is the line ending characters `\\r` and `\\n`.
chop	Numeric $arg;String $arg;Iterable[Variant[String, Numeric]] $arg		Returns a new string with the last character removed. If the string ends with `\\r\\n`, both characters are removed. Applying chop to an empty string returns an empty string. If you wish to merely remove record separators then you should use the `chomp` function.
compare	Numeric $a, Numeric $b;String $a, String $b, [Boolean $ignore_case];Semver $a, Semver $b;Numeric $a, Variant[Timespan, Timestamp] $b;Timestamp $a, Variant[Timestamp, Numeric] $b;Timespan $a, Variant[Timespan, Numeric] $b, Comparable $a, Comparable $b, *Any $ignore_case, Any $a, Any $b, *Any $ignore_case		Compares two values and returns -1, 0 or 1 if first value is smaller, equal or larger than the second value. The compare function accepts arguments of the data types `String`, `Numeric`, `Timespan`, `Timestamp`, and `Semver`, such that:
contain			Makes one or more classes be contained inside the current class. If any of these classes are undeclared, they will be declared as if there were declared with the `include` function. Accepts a class name, an array of class names, or a comma-separated list of class names.
convert_to	Any $value, Type $type, [*Any $args], &block		The `convert_to(value, type)` is a convenience function that does the same as `new(type, value)`. The difference in the argument ordering allows it to be used in chained style for improved readability "left to right".
create_resources			
crit	*Any $values	Undef	Logs a message on the server at level `crit`.
debug	*Any $values	Undef	Logs a message on the server at level `debug`.
defined			Determines whether a given class or resource type is defined and returns a Boolean value. You can also use `defined` to determine whether a specific resource is defined, or whether a variable has a value (including `undef`, as opposed to the variable never being declared or assigned).
dig	Optional[Collection] $data, *Any $arg		Returns a value for a sequence of given keys/indexes into a structure, such as an array or hash.
digest			Returns a hash value from a provided string using the digest_algorithm setting from the Puppet config file.
downcase	Numeric $arg;String $arg;Array[StringData] $arg;Hash[StringData, StringData] $arg		Converts a String, Array or Hash (recursively) into lower case.
each	Hash[Any, Any] $hash, &block;Iterable $enumerable, &block		Runs a [lambda](https://puppet.com/docs/puppet/latest/lang_lambdas.html) repeatedly using each value in a data structure, then returns the values unchanged.
emerg	*Any $values	Undef	Logs a message on the server at level `emerg`.
empty	Collection $coll;Sensitive[String] $str;String $str;Numeric $num;Binary $bin;Undef $x		Returns `true` if the given argument is an empty collection of values.
epp	String $path, [Hash[Pattern[/^\w+$/], Any] $parameters]	Variant[String, Sensitive[String]]	Evaluates an Embedded Puppet (EPP) template file and returns the rendered text result as a String.
err	*Any $values	Undef	Logs a message on the server at level `err`.
eyaml_lookup_key	String[1] $key, Hash[String[1],Any] $options, Puppet::LookupContext $context		The `eyaml_lookup_key` is a hiera 5 `lookup_key` data provider function. See [the configuration guide documentation](https://puppet.com/docs/puppet/latest/hiera_config_yaml_5.html#configuring-a-hierarchy-level-hiera-eyaml) for how to use this function.
fail			
file			Loads a file from a module and returns its contents as a string. The argument to this function should be a `<MODULE NAME>/<FILE>` reference, which will load `<FILE>` from a module's `files` directory. (For example, the reference `mysql/mysqltuner.pl` will load the file `<MODULES DIRECTORY>/mysql/files/mysqltuner.pl`.) This function can also accept: * An absolute path, which can load a file from anywhere on disk. * Multiple arguments, which will return the contents of the **first** file found, skipping any files that don't exist.
filter	Hash[Any, Any] $hash, &block;Iterable $enumerable, &block		Applies a [lambda](https://puppet.com/docs/puppet/latest/lang_lambdas.html) to every value in a data structure and returns an array or hash containing any elements for which the lambda evaluates to a truthy value (not `false` or `undef`).
find_file	*String $paths;*Array[String] $paths_array		Finds an existing file from a module and returns its path.
find_template	*String $paths;*Array[String] $paths_array		Finds an existing template from a module and returns its path.
flatten	*Any $args		Returns a flat Array produced from its possibly deeply nested given arguments.
floor	Numeric $val;String $val		Returns the largest `Integer` less or equal to the argument. Takes a single numeric value as an argument.
fqdn_rand			Usage: `fqdn_rand(MAX, [SEED], [DOWNCASE])`. MAX is required and must be a positive integer; SEED is optional and may be any number or string; DOWNCASE is optional and should be a boolean true or false. Generates a random Integer number greater than or equal to 0 and less than MAX, combining the `$fqdn` fact and the value of SEED for repeatable randomness. (That is, each node will get a different random number from this function, but a given node's result will be the same every time unless its hostname changes.) If DOWNCASE is true, then the `fqdn` fact will be downcased when computing the…
generate			Calls an external command on the Puppet master and returns the results of the command. Any arguments are passed to the external command as arguments. If the generator does not exit with return code of 0, the generator is considered to have failed and a parse error is thrown. Generators can only have file separators, alphanumerics, dashes, and periods in them. This function will attempt to protect you from malicious generator calls (e.g., those with '..' in them), but it can never be entirely safe. No subshell is used to execute generators, so all shell metacharacters are passed directly to…
